label	genus	group
P1	AND16-lineage_X	P
P2	ATCC50593-lineage_X	P
P4	Acramoeba	P
P7	Allantion	P
P8	Allapsa	P
P11	Amphifilidae	P
P13	Aplanochytrium	P
P16	Bicosoecida	P
P20	Botryochloris	P
P23	Capsellina	P
P25	Centroheliozoa_XXXX	P
P27	Cercomonas	P
P28	Cercozoa_XXXX	P
P29	Chilodonellidae_X	P
P30	Chlamydomonas	P
P31	Chlorella	P
P35	Chlorosarcina	P
P36	Chlorosarcinopsis	P
P38	Chrysophyceae_Clade-C_X	P
P42	Colpoda	P
P44	Colpodidae_X	P
P45	Copromyxa	P
P46	Cryptodifflugia	P
P48	Cyrtolophosididae_X	P
P49	Cyrtolophosis	P
P50	Deasonia	P
P55	Draparnaldia	P
P56	Dujardina	P
P57	Echinamoeba	P
P63	Euglyphida_XX	P
P64	Filamoeba	P
P68	Flamella	P
P69	Flamella-lineage_X	P
P71	Floydiella	P
P72	Follicularia	P
P74	Glissomonadida_XX	P
P78	Hartmannella	P
P80	Helkesimastix	P
P81	Heterochlamydomonas	P
P82	Heterococcus	P
P84	Heterophrys	P
P87	LKM74-lineage_X	P
P90	Leptophryidae_X	P
P91	Leptophrys	P
P94	Limnofilidae_X	P
P96	Lobosa-G1_XXX	P
P99	Mb5C-lineage_X	P
P102	Metabolomonas	P
P106	Nematostelium	P
P107	Neocercomonas	P
P109	Neoheteromita	P
P110	Nolandellidae_X	P
P119	Oxytrichidae_X	P
P120	Paracercomonas	P
P125	Peronosporales_X	P
P126	Phalansterium	P
P128	Pinnularia	P
P131	Platyreta	P
P132	Polymyxa	P
P135	Proleptomonas	P
P136	Protacanthamoeba	P
P137	Protosiphon	P
P141	Pseudodendromonadales_XX	P
P144	Pseudoperkinsidae_X	P
P145	Pseudoplatyophrya	P
P148	Ptolemeba	P
P152	Ripidomyxa	P
P157	Sandonidae_X	P
P158	Scenedesmus	P
P166	Spongomonas	P
P167	Spumella	P
P170	Teretomonas	P
P171	Tetracystis	P
P173	Thalassomyxa-lineage_X	P
P176	Tracheleuglypha	P
P177	Tremula	P
P181	Variosea_XXX	P
P192	unclassified_c__Apicomplexa_X	P
P193	unclassified_c__Centroheliozoa_X	P
P199	unclassified_c__Oligohymenophorea	P
P202	unclassified_c__Ulvophyceae	P
P203	unclassified_d__Eukaryota	P
P207	unclassified_f__Chlorellales_X	P
P210	unclassified_f__Clade-2	P
P211	unclassified_f__Colpodidae	P
P214	unclassified_f__Flamella-lineage	P
P216	unclassified_f__Hartmannellidae	P
P217	unclassified_f__LOS7NI-lineage	P
P218	unclassified_f__Limnofilidae	P
P220	unclassified_f__Oxytrichidae	P
P221	unclassified_f__Paracercomonadidae	P
P224	unclassified_f__Pseudoperkinsidae	P
P225	unclassified_f__Raphid-pennate	P
P227	unclassified_f__Sandonidae	P
P231	unclassified_f__Sphaeropleales_X	P
P233	unclassified_f__Thaumatomonadidae	P
P234	unclassified_f__Thraustochytriaceae	P
P240	unclassified_f__Watanabea-Clade_X	P
P243	unclassified_k__Amoebozoa	P
P244	unclassified_k__Opisthokonta	P
P246	unclassified_o__ATCC50593-Flamella-WIM80-lineage	P
P249	unclassified_o__Chrysophyceae_X	P
P256	unclassified_o__Euglyphida	P
P260	unclassified_o__Hypotrichia	P
P265	unclassified_o__Pterocystida	P
P270	unclassified_o__Vampyrellida	P
P275	unclassified_p__Conosa	P
HN1	Coslenchus	HN
HN2	Helicotylenchus	HN
HN4	Paratylenchus	HN
HN5	Tylenchus	HN
HN6	Malenchus	HN
HN7	Basiria	HN
HN8	Boleodorus	HN
HN9	Aglenchus	HN
HN10	Rotylenchus	HN
HN12	Nagelus	HN
