label	genus	group
BF1	Rhabditis	BN
BF2	Mesorhabditis	BN
BF3	Cephalobus	BN
BF4	Heterocephalobus	BN
BF5	Acrobeloides	BN
BF6	Acrolobus	BN
BF7	Ceratoplectus	BN
BF8	Prismatolaimus	BN
BF9	Rhabdolaimus	BN
BF10	Alaimus	BN
BF11	Paramphidelus	BN
FF1	Filenchus	FN
FF4	Paraphelenchus	FN
FF5	Aphelenchoides	FN
FF6	Tylencholaimus	FN
OP2	Clarkus	OPN
OP3	Prodorylaimus	OPN
OP6	Thonus	OPN
OP7	Eudorylaimus	OPN
OP8	Epidorylaimus	OPN
OP9	Microdorylaimus	OPN
OP10	Aporcelaimellus	OPN
HN1	Coslenchus	HN
HN2	Helicotylenchus	HN
HN4	Paratylenchus	HN
HN5	Tylenchus	HN
HN6	Malenchus	HN
HN7	Basiria	HN
HN8	Boleodorus	HN
HN9	Aglenchus	HN
HN10	Rotylenchus	HN
HN12	Nagelus	HN
